"About the data: Exported on Dec 13, 2022. Criteria: '""digital divide*"" OR ""digital inequalit*"" OR ""digital gap*""' in title and abstract; Publication Year is 2000 or 2001 or 2002 or 2003 or 2004 or 2005 or 2006 or 2007; Fields of Research (ANZSRC 2020) is 35 Commerce, Management, Tourism and Services or 38 Economics or 46 Information and Computing Sciences; Publication Type is Article or Chapter or Proceeding. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,ISBN,Title,Abstract,Acknowledgements,Source title,Anthology title,Publisher,ISSN,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Cancer Types,CSO Categories,Units of Assessment,Sustainable Development Goals
492,pub.1012646034,10.1007/0-387-31168-8_19,,,"978-0-387-30527-1, 978-0-387-31168-5",Social and Ethical Aspects of IPv6,"The Internet Protocol version 6 (or IPv6) is designed to replace the current version (IPv4), which is now over 25 years old. Three main categories of social and ethical issues arise in connection with IPv6: issues relating to the right to an IP address, issues related to the application of the technology, and issues related to governance. There are many societal benefits of IPv6, as it will enable once more to have end-to-end security of transmission. Nevertheless, the governance of this deployment now and in the coming years needs to be neutral and controlled, and the governance of the IPv6 Internet that emerges after deployment must be transparent and accountable. Any mistakes we make now will be very costly in terms of loss of existing personal freedoms. This paper will explore these issues.",,IFIP Advances in Information and Communication Technology,The Information Society: Emerging Landscapes,Springer Nature,"1868-4238, 1868-422X",,2006-01-01,2006,,2006-01-01,195,,315-337,All OA; Bronze,Chapter,"Zielinski, Chris","Zielinski, Chris (Independent Consultant, Geneva, Switzerland)",,"Zielinski, Chris ()",,,,,,,,,,,0,0,,,,https://link.springer.com/content/pdf/10.1007/0-387-31168-8_19.pdf,https://app.dimensions.ai/details/publication/pub.1012646034,46 Information and Computing Sciences,,,,,,B11 Computer Science and Informatics,"16 Peace, Justice and Strong Institutions"
492,pub.1006180255,10.1145/1240866.1240990,,,9781595936424,Using activity theory to develop a design framework for rural development,"Many attempts to bridge the digital divide between lesser-developed countries (LDC) through Information & Communication Technology (ICT) projects have had little success. With the concurrent rise in number of ICT projects in rural areas, the current situation calls for better design. However, it is our claim that the nature of villages.being devoid of digital artifacts.requires much of HCI theory and methodologies to be re-examined. HCI theory has evolved in urban environments over the past 30 years and may not be suitable for the village environment. However, Activity Theory lends itself well to these environments as its primary focus is on pre-existing activities and goals rather than digital artifacts themselves. Using this theory as basis, we examine past failures and successes of ICT interventions. From this examination we intend to derive a practical framework for guiding future HCI-design (HCID) in the developing world.",,,CHI '07 Extended Abstracts on Human Factors in Computing Systems,Association for Computing Machinery (ACM),,,2007-04-28,2007,2007-04-28,2007-04-28,,,2255-2260,Closed,Proceeding,"Ashok, Arvind; Beck, Christian","Ashok, Arvind (Indiana University, Bloomington, IN); Beck, Christian (Indiana University, Bloomington, IN)",,"Ashok, Arvind (Indiana University Bloomington); Beck, Christian (Indiana University Bloomington)",Indiana University Bloomington,grid.411377.7,Bloomington,Indiana,United States,,,,,,5,0,,1.23,,,https://app.dimensions.ai/details/publication/pub.1006180255,33 Built Environment and Design; 46 Information and Computing Sciences; 4608 Human-Centred Computing,,,,,,B11 Computer Science and Informatics,
492,pub.1001545361,10.1057/9780230523562_9,,,"978-1-349-52178-4, 978-0-230-52356-2",Marketing and Communication Infrastructures Enable Proactivity and Responsiveness,"Asia is, in many aspects, the continent of the extremes and has been developing with high speed and high volatility across all its complex and comprehensive diversities, cultures, beliefs and religions, economical and digital divides as well as promoting tremendous richness in various fields. This region now has an outstanding opportunity to communicate relevant messages in an adequate, appropriate, fast and reasonable way to both global, regional, domestic and local audiences by making smart use of state-of-the-art and best-of-breed technologies in order to take proactive approaches to promote products and services. In so doing it would establish a communication infrastructure for pan-Asian, outbound Asian and inbound Asian purposes. This will help Asia to continue reliably delivering on the expectation of being the centre of growth in the twenty-first century.",,,Infrastructure and Productivity in Asia,Springer Nature,,,2005,2005,,2005,,,166-184,Closed,Chapter,"Hirt, Ralf","Hirt, Ralf ()",,"Hirt, Ralf ()",,,,,,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1001545361,"35 Commerce, Management, Tourism and Services; 47 Language, Communication and Culture; 4702 Cultural Studies",,,,,,"D32 Art and Design: History, Practice and Theory",
492,pub.1001376725,10.1515/libr.2005.84,,,,Indigenous Australians and the ‘digital divide’,"As a result of their disadvantaged socioeconomic position, Indigenous Australians experience disadvantaged digital information access, both in terms of the distribution of information and communication technologies (ICTs) and the skills-based capabilities required for their effective utilisation (e.g., literacy and information literacy). As social, economic, and political opportunity becomes increasingly wedded to ICT access in the information society, Indigenous digital disadvantage threatens to perpetuate or exacerbate the existing inequalities constraining access. Despite concerns such as the issue of information imperialism, Indigenous Australians have recognised the empowering potential of the Internet as an information resource, communication tool, and publishing medium. Though the policies of government and the information profession commit to maximising equity of ICT and information access, Indigenous digital disadvantage suggests the need for greater intervention and comprehensive strategies in the interests of a socially inclusive information society, of benefit to all Australians.",,Libri,,De Gruyter,"0024-2667, 1865-8423",,2005-10-10,2005,2008-01-07,2005-10-10,55,2-3,84-95,Closed,Article,"Samaras, Katrina","Samaras, Katrina (Charles Sturt University (Wagga Wagga NSW), Australia)","Samaras, Katrina (Charles Sturt University)","Samaras, Katrina (Charles Sturt University)",Charles Sturt University,grid.1037.5,Bathurst,New South Wales,Australia,,,,,,12,4,,7.73,,,https://app.dimensions.ai/details/publication/pub.1001376725,46 Information and Computing Sciences; 4610 Library and Information Studies,,,,,,"D34 Communication, Cultural and Media Studies, Library and Information Management",10 Reduced Inequalities
491,pub.1063872540,10.1177/0894439303262580,,,,Digital Citizenship,"This study presents results from a 2002 Midwest urban random sample survey ( N = 167 adults). It is proposed that attitudes toward technology have a direct impact on digital citizenry and are colored by racial and educational differences. A path model showed several key results. Desire for computer skills increased among respondents with lower levels of educational attainment. Respondents with higher levels of education were more likely to use computers at home andwork. Non-Whites were more likely than Whites to agree that technological information is key to citizen empowerment and that computers should be accessible to all citizens, as well as reporting increased interest in learning computer skills. Interest in developing computer skillswas positively associated with digital citizenship. Viewing technology as a source of informational powerwas positively related to support for digital government and to support for computer access equity.",,Social Science Computer Review,,SAGE Publications,"0894-4393, 1552-8286",,2004-05,2004,2016-08-18,2004-05,22,2,256-269,Closed,Article,"Shelley, Mack; Thrane, Lisa; Shulman, Stuart; Lang, Evette; Beisser, Sally; Larson, Teresa; Mutiti, James","Shelley, Mack (Iowa State University); Thrane, Lisa (Iowa State University); Shulman, Stuart (Drake University); Lang, Evette (Iowa State University); Beisser, Sally (Drake University); Larson, Teresa (Drake University); Mutiti, James (Ohio University)",,"Shelley, Mack (Iowa State University); Thrane, Lisa (Iowa State University); Shulman, Stuart (Drake University); Lang, Evette (Iowa State University); Beisser, Sally (Drake University); Larson, Teresa (Drake University); Mutiti, James (Ohio University)",Drake University; Iowa State University; Ohio University,grid.255228.a; grid.34421.30; grid.20627.31,Des Moines; Ames; Athens,Iowa; Iowa; Ohio,United States; United States; United States,,,,,,66,18,,46.28,,,https://app.dimensions.ai/details/publication/pub.1063872540,46 Information and Computing Sciences; 4610 Library and Information Studies,,,,,,C23 Education,4 Quality Education
491,pub.1053069635,10.1177/0020852305051687,,,,Accessing e-government: challenges for citizens and organizations,"The Internet is becoming more integral to governments and their modes of doing business and delivering services. This is creating a new imperative to address the digital divide. In Australia, as shown in this article, citizens who are the biggest users of government services are the least likely to be connected to the internet. What can be done to connect the unconnected? The article explores what has been learned from some of the Australian initiatives for connecting the unconnected to online government services. It concludes that greater attention to community-based human capital development is needed. It gives examples of factors needed for success in building socially marginalized communities’ interest, enthusiasm and capacity to interact and communicate via online technologies, thereby contributing to how successful e-government can be in delivering gains in efficiency and improved services.",,International Review of Administrative Sciences,,SAGE Publications,"0020-8523, 0255-3635, 1461-7226",,2005-03,2005,2016-06-30,2005-03,71,1,109-118,All OA; Bronze,Article,"Dugdale, Anni; Daly, Anne; Papandrea, Franco; Maley, Maria","Dugdale, Anni (School of Business and Government, National Institute for Governance at                         the University of Canberra, Australia); Daly, Anne (E-government Group, University of Canberra. Australia); Papandrea, Franco (E-government Group, University of Canberra. Australia); Maley, Maria (E-government Group, University of Canberra. Australia)",,"Dugdale, Anni (University of Canberra); Daly, Anne (University of Canberra); Papandrea, Franco (University of Canberra); Maley, Maria (University of Canberra)",University of Canberra,grid.1039.b,Canberra,Australian Capital Territory,Australia,,,,,,79,7,,17.15,,http://journals.sagepub.com/doi/pdf/10.1177/0020852305051687,https://app.dimensions.ai/details/publication/pub.1053069635,"35 Commerce, Management, Tourism and Services; 3507 Strategy, Management and Organisational Behaviour; 44 Human Society; 4407 Policy and Administration",,,,,,C17 Business and Management Studies,
491,pub.1035228359,10.1145/1284420.1284428,,,9781595937766,A model for mapping between printed and digital document instances,"The first steps towards bridging the paper-digital divide have been achieved with the development of a range of technologies that allow printed documents to be linked to digital content and services. However, the static nature of paper and limited structural information encoded in classical paginated formats make it difficult to map between parts of a printed instance of a document and logical elements of a digital instance of the same document, especially taking document revisions into account. We present a solution to this problem based on a model that combines metadata of the digital and printed instances to enable a seamless mapping between digital documents and their physical counterparts on paper. We also describe how the model was used to develop iDoc, a framework that supports the authoring and publishing of interactive paper documents.",,,Proceedings of the 2007 ACM symposium on Document engineering - DocEng '07,Association for Computing Machinery (ACM),,,2007,2007,,2007,,,19-28,Closed,Proceeding,"Weibel, Nadir; Norrie, Moira C.; Signer, Beat","Weibel, Nadir (ETH Zurich); Norrie, Moira C. (ETH Zurich); Signer, Beat (ETH Zurich)",,"Weibel, Nadir (ETH Zurich); Norrie, Moira C. (ETH Zurich); Signer, Beat (ETH Zurich)",ETH Zurich,grid.5801.c,Zurich,,Switzerland,,,,,,12,0,,8.58,3,,https://app.dimensions.ai/details/publication/pub.1035228359,46 Information and Computing Sciences; 4610 Library and Information Studies,,,,,,B11 Computer Science and Informatics,
491,pub.1028232558,10.1207/s15427439tc1101_06,,,,Understanding a Secondary Digital Divide: Nonprofit Organizations and Internet Bandwidth Connectivity,"This article presents the results of a study of the Internet adoption rate of nonprofit organizations in the United States as of May/July 2000 and raises the question of whether larger, wealthier, and more technologically invested organizations have greater Internet bandwidth connectivity. Of some 902 nonprofit organizations in the religious and charitable category, 90% used the Internet for email and Web access. Additionally, 66.7% had Web sites. OLS regression and bivariate correlational analysis suggests that organizations with larger fund balances, greater budget percentages attributed to ICT, and a history of early adoption are statistically significantly more likely to have greater bandwidth connectivity to the Internet. In contrast, organizations with greater free cash flow are statistically significantly less likely to have greater bandwidth, although organization size does not correlate significantly with bandwidth connectivity.",,Trends in Communication,,Taylor & Francis,"1383-8857, 1542-7439",,2003-01-03,2003,,2003-01-03,11,1,81-94,Closed,Article,"Zimmer, Eric A.","Zimmer, Eric A. ()",,"Zimmer, Eric A. ()",,,,,,,,,,,4,0,,0.4,,,https://app.dimensions.ai/details/publication/pub.1028232558,"35 Commerce, Management, Tourism and Services; 3503 Business Systems In Context",,,,,,C17 Business and Management Studies,
491,pub.1022549358,10.1177/0266666906069070,,,,Integrating ICTs into the Globalization of the Poor Developing Countries,"The impact of ICTs in developing countries generally can be considered inegalitarian because their benefits accrue more to the rich than the poor developing countries, thus defining a new form of digital divide. Certain ICT-induced developments such as globalization tend to leave the poor developing countries behind the global development agenda. In this article, we recognize the need for global-scale countervailing policies to establish the true pattern and structure of poverty and ICTs consumption and utilization in the developing countries in order to determine how the ICTs-heavy activities of the rich developing countries can be aligned with the ICTs needs of the poor developing countries. This will help ensure that ICTs are contributing in the development and globalization of the poor countries. The article recommends strategies that can be adopted to boost the participation of poor developing countries in the globalization process.",,Information Development,,SAGE Publications,"0266-6669, 1741-6469",,2006-08,2006,2016-06-29,2006-08,22,3,167-179,Closed,Article,"Nwagwu, Williams Ezinwa","Nwagwu, Williams Ezinwa (Africa Regional Centre for Information Science (ARCIS) of the University of Ibadan, Nigeria;, willieezi@yahoo.com)",,"Nwagwu, Williams Ezinwa (University of Ibadan)",University of Ibadan,grid.9582.6,Ibadan,Oyo,Nigeria,,,,,,8,1,,3.21,,,https://app.dimensions.ai/details/publication/pub.1022549358,46 Information and Computing Sciences; 4609 Information Systems; 4610 Library and Information Studies,,,,,,C22 Anthropology and Development Studies,1 No Poverty
491,pub.1015263854,10.1108/14636690210453226,,,,East Asia in the Information Economy,"The Information Economy has captured the imagination of all levels of society. Yet very often, analyses tend to reflect personal biases or propose incredulous scenarios. This essay does not seek to rewrite old rules for a new economy; rather, it seeks to provide a balanced perspective on opportunities and challenges facing East Asia, using a multidisciplinary approach. It finds that although these countries differ in their levels of development in the Information Economy, their prospects of growth depend on the policies that they choose to pursue. Deliberations on economic issues (such as the potential for productivity gains from ICT), political concerns (including the need to cope with changing government‐people dynamics), and social changes (such as the diminution of local cultures and the widening digital divide) often involve both costs as well as benefits. The optimal balance is likely to differ between countries, with no clear model answers.",,Info,,Emerald,"1463-6697, 1465-9840",,2002-10-01,2002,,2002-10-01,4,5,56-63,Closed,Article,"Lim, Jamus Jerome","Lim, Jamus Jerome (Jamus Jerome Lim is at the Regional Economic Studies Institute of Southeast Asian Studies, Pasir Panjang, Singapore.)",,"Lim, Jamus Jerome (ISEAS - Yusof Ishak Institute)",ISEAS - Yusof Ishak Institute,grid.462429.f,Singapore,,Singapore,,,,,,5,2,,1.09,,,https://app.dimensions.ai/details/publication/pub.1015263854,38 Economics; 3801 Applied Economics,,,,,,C17 Business and Management Studies,8 Decent Work and Economic Growth
491,pub.1094641839,10.1109/icsmc.2004.1401079,,,0-7803-8567-5,Natural Language Mediated Software Control**0-7803-8566-7/04/$20.00 © 2004 IEEE.,"As information technology becomes increasingly pervasive, the digital divide between those who are familiar with the new technologies and those who are not is a growing social concern. As a solution to this problem, the concept of a novel “everyday language computing system” has already been proposed [1]. This is based on the revolutionary idea of people being able to access computer networks using the same ordinary language that we use in our everyday lives, a capability that would enable anyone-even the technologically inept—to use computers with the same easy familiarity that we use ordinary household appliances. In this paper we will demonstrate how this system could be flexibly adapted to various applications, propose an information communications model for operating/running such a computer system, and propose a scheme for operating/running computer software.",,,"2004 IEEE International Conference on Systems, Man and Cybernetics (IEEE Cat. No.04CH37583)",Institute of Electrical and Electronics Engineers (IEEE),,,2004-01-01,2004,,2004-01-01,6,,5560-5566,Closed,Proceeding,"Iwazume, Michiaki; Kobayashi, Ichiro; Sugeno, Michio","Iwazume, Michiaki (Brain Science Institute, RIKEN, Saitama, Japan); Kobayashi, Ichiro (Department of Information Science, Ochanomizu University, Tokyo, Japan); Sugeno, Michio (Brain Science Institute, RIKEN, Saitama, Japan)",,"Iwazume, Michiaki (RIKEN Center for Brain Science); Kobayashi, Ichiro (Ochanomizu University); Sugeno, Michio (RIKEN Center for Brain Science)",Ochanomizu University; RIKEN Center for Brain Science,grid.412314.1; grid.474690.8,Tokyo; Wako,; ,Japan; Japan,,,,,,2,0,,0.4,,,https://app.dimensions.ai/details/publication/pub.1094641839,46 Information and Computing Sciences; 4608 Human-Centred Computing,Networking and Information Technology R&D,,,,,B11 Computer Science and Informatics,
491,pub.1043510313,10.1016/j.telpol.2007.04.004,,,,Closing the rural broadband gap: Promoting adoption of the Internet in rural America,"Even as geographic disparities in high speed Internet access narrow, an urban–rural broadband gap persists, pointing to the importance of individual differences in motivations to adopt broadband as the key to closing the gap. Diffusion of innovation is reconceptualized through contemporary perspectives of the digital divide and social cognitive theory and tested on a survey sample drawn from four rural communities. Path analysis was used to examine the factors that cause broadband Internet service adoption in rural communities. Prior experience with the Internet, the expected outcomes of broadband usage, direct personal experience with broadband, and self-efficacy had direct effects on broadband intentions. Age and income, but not education or ethnicity, also had direct impacts. Efforts that promote the personal benefits of broadband and advanced ICT literacy skills among Internet users are recommended.",This research was supported by the US Department of Agriculture CSREES Program (Grant number 2004-35401-14985). The opinions expressed are those of the authors.,Telecommunications Policy,,Elsevier,"0308-5961, 1879-3258",,2007-07,2007,,2007-07,31,6-7,359-373,Closed,Article,"LaRose, Robert; Gregg, Jennifer L.; Strover, Sharon; Straubhaar, Joseph; Carpenter, Serena","LaRose, Robert (Department of Telecommunication, Information Studies, and Media, 409 Communication Arts Building, Michigan State University, Michigan 48824, USA); Gregg, Jennifer L. (Department of Communication, University of Louisville, USA); Strover, Sharon (Department of Radio TV Film, University of Texas, USA); Straubhaar, Joseph (Department of Radio TV Film, University of Texas, USA); Carpenter, Serena (Mass Media Ph.D. Program, Michigan State University, USA)","LaRose, Robert (Michigan State University)","LaRose, Robert (Michigan State University); Gregg, Jennifer L. (University of Louisville); Strover, Sharon (The University of Texas System); Straubhaar, Joseph (The University of Texas System); Carpenter, Serena (Michigan State University)",The University of Texas System; Michigan State University; University of Louisville,grid.55460.32; grid.17088.36; grid.266623.5,Austin; East Lansing; Louisville,Texas; Michigan; Kentucky,United States; United States; United States,National Institute of Food and Agriculture,USDA - United States Department of Agriculture,United States,grant.8782799,2004-35401-14985,160,26,,114.41,6,,https://app.dimensions.ai/details/publication/pub.1043510313,"35 Commerce, Management, Tourism and Services; 46 Information and Computing Sciences; 4610 Library and Information Studies",Basic Behavioral and Social Science; Behavioral and Social Science; Clinical Research; Rural Health,,,,,C17 Business and Management Studies,
491,pub.1032979421,10.1007/1-4020-8139-1_49,,,"978-1-4020-8138-5, 978-1-4020-8139-2",P2P Infrastructure for Tourism Electronic Marketplace,"Internet and information technologies have changed the way people interact and make business all over the world. Unfortunately, this is not completely true in the sense that the fast progress fostered by more dynamic economies has in fact been contributing to widening the so-called digital divide between rich and poor. This is a particularly true for small and medium enterprises in remote communities that face a number of obstacles and difficulties due to their family business structure, limited access to information and communication infrastructure. This paper presents a P2P infrastructure for a distributed e-Marketplace that aims at bringing together tourism operators, players of crafts and agro-eco-cultural tourism sectors living in remote communities, in order to provide them the opportunity to join, at a reduced cost, to the information society and reach new markets.",,IFIP Advances in Information and Communication Technology,Virtual Enterprises and Collaborative Networks,Springer Nature,"1868-4238, 1868-422X",,2004-01-01,2004,,2004-01-01,149,,461-468,All OA; Bronze,Chapter,"Barradas, Luís C. S.; Pinto-Ferreira, J. J.","Barradas, Luís C. S. (E.S.T.-I.P.C.B., Avenida do Empresário, 6000-767, Castelo Branco, Portugal); Pinto-Ferreira, J. J. (FEUP-DEEC / INESC Porto-UESP, Rua Dr. Roberto Frias s/n, 4200-465, Porto, Portugal)",,"Barradas, Luís C. S. (); Pinto-Ferreira, J. J. (Institute for Systems and Computer Engineering of Porto)",Institute for Systems and Computer Engineering of Porto,grid.20384.3d,Porto,,Portugal,,,,,,1,0,,,,https://link.springer.com/content/pdf/10.1007%2F1-4020-8139-1_49.pdf,https://app.dimensions.ai/details/publication/pub.1032979421,46 Information and Computing Sciences,,,,,,B11 Computer Science and Informatics,
491,pub.1016126762,10.1145/1287767.1287785,,,9781595937384,A wireless mesh network testbed in rural mountain areas,"We have built a wireless mesh network testbed, which is tolerant of disaster and aim to resolve a digital divide issue in rural mountain areas. This testbed is located in two areas and has total 22 nodes which are installed on the power poles in these areas. Two areas are connected to a control server at Niigata university with broadband wireless access systems using 5 GHz band via a gate way node at the local-government office, which is located at the center of two areas. Each node has two wireless LAN interfaces with IEEE 802.11b/g and a wireless LAN access point. We measure the throughput and the packet transmission successful ratio of links in our testbed. Moreover, we investigate the technical issues to manage and operate the mesh network in the rural mountain areas.",,,"Proceedings of the the second ACM international workshop on Wireless network testbeds, experimental evaluation and characterization  - WinTECH '07",Association for Computing Machinery (ACM),,,2007,2007,,2007,,,91-92,Closed,Proceeding,"Takahashi, Yusuke; Owada, Yasunori; Okada, Hiraku; Mase, Kenichi","Takahashi, Yusuke (Niigata University, Niigata, Japan); Owada, Yasunori (Niigata University, Niigata, Japan); Okada, Hiraku (Niigata University, Niigata, Japan); Mase, Kenichi (Niigata University, Niigata, Japan)",,"Takahashi, Yusuke (Niigata University); Owada, Yasunori (Niigata University); Okada, Hiraku (Niigata University); Mase, Kenichi (Niigata University)",Niigata University,grid.260975.f,Niigata,,Japan,,,,,,13,1,,2.88,,,https://app.dimensions.ai/details/publication/pub.1016126762,46 Information and Computing Sciences; 4606 Distributed Computing and Systems Software,Rural Health,,,,,B11 Computer Science and Informatics,
491,pub.1045754767,10.4018/978-1-59140-968-7.ch009,,,"9781591409687, 9781591409700","Computing Ethics, Intercultural Comparisons","Computers are a vehicle for the information age, and are central to the dispersal of descriptive accounts of technology, and to interactive discussion between growing communities. Despite the commitment of all countries to free flow of information and access to knowledge sources based upon social justice there are still ethical problems of the digital divide. The attitudes of respondents towards science and computers in both Japan and Thailand is compared between 1993 and a decades later. There is more positive support towards science and technology in general in Thailand than in Japan, but both countries continue to be positive in attitude. There is a clear social mandate in both countries for their government policies promoting the development of information technology and science and technology in general. The perception of benefits and the worries about computers are discussed, as are some emerging issues.",,,Information Technology and Social Justice,IGI Global,,,2007,2007,,,,,189-205,Closed,Chapter,"Rooksby, Emma; Weckert, John; Macer, Darryl","Rooksby, Emma (); Weckert, John (); Macer, Darryl (UNESCO Bangkok, Thailand, Eubios Ethics Institute, Japan and New Zealand)",,"Rooksby, Emma (); Weckert, John (); Macer, Darryl ()",,,,,,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1045754767,46 Information and Computing Sciences; 4610 Library and Information Studies,Basic Behavioral and Social Science; Behavioral and Social Science,,,,,C17 Business and Management Studies,
491,pub.1037905977,10.1080/01972240309485,,,,The Role of Institutional Motivations in Technological Adoption: Implementation of DeKalb County's Family Technology Resource Centers,"The Family Technology Resource Centers (FTRC) Program consists of 14 community technology centers operated by the DeKalb County School System (DCSS) in Atlanta, GA. The model program is an outreach and technology diffusion initiative developed and maintained by the DCSS to encourage the use and awareness of information and communication technologies (ICTs) by underserved populations. A narrative assessment was generated using a qualitative approach based on researchers' direct observations of day-to-day operations, interviews conducted with key stakeholders, and review and analysis of official internal and external documents detailing program elements. The FTRC's successful efforts are tied to a combination of an environment ""suitable"" for change, the participation and ""buy-in"" of key stakeholders with a shared set of objectives, and the ability of key change agents both internally and externally to draw upon resources to ""leverage"" a digital divide policy initiative.",,The Information Society,,Taylor & Francis,"0197-2243, 1087-6537",,2003-09,2003,,2003-09,19,4,305-314,Closed,Article,"O'Neil, Dara V.; Baker, Paul M. A.","O'Neil, Dara V. (School of Public Policy, Georgia Institute of Technology, Atlanta, Georgia, USA); Baker, Paul M. A. (School of Public Policy, Georgia Institute of Technology, Atlanta, Georgia, USA)",,"O'Neil, Dara V. (Georgia Institute of Technology); Baker, Paul M. A. (Georgia Institute of Technology)",Georgia Institute of Technology,grid.213917.f,Atlanta,Georgia,United States,,,,,,10,0,,3.23,,,https://app.dimensions.ai/details/publication/pub.1037905977,46 Information and Computing Sciences; 4608 Human-Centred Computing; 4610 Library and Information Studies,,,,,,C17 Business and Management Studies,
491,pub.1030744309,10.1145/1125170.1125202,,,1595933492,Information technology education and employment for women in Kenya,"Sub-Saharan Africa women have historically assumed the roles of housewife and subsistence farmer. However, with the global growth of information and communications technologies (ICT) and digital divide interventions, women are enrolling in university programs which prepare them for employment in the formal workforce. In this paper, we present a study in which we interviewed 32 women enrolled in an ICT program at a Kenyan university. The interviews examined the women's responses to the program as well as the women's experiences in seeking and securing ICT-related employment. Our findings indicate that women were highly optimistic, embracing ICT as a practical mechanism for achieving entrée into the labor force and empowering women. However they perceive significant structural barriers, such as gender discrimination in hiring practices, organization's inability to recognize their mix of technical and business competencies, and national ICT policies which did not support the growth in the technology sector.",,,"Proceedings of the 2006 ACM SIGMIS CPR conference on computer personnel research Forty four years of computer personnel research: achievements, challenges & the future - SIGMIS CPR '06",Association for Computing Machinery (ACM),,,2006,2006,,2006,,,114-119,Closed,Proceeding,"Kvasny, Lynette; Payton, Fay Cobb; Chong, Jing; Mbarika, Victor","Kvasny, Lynette (Pennsylvania State University, University Park, PA); Payton, Fay Cobb (North Carolina State University, Raleigh, NC); Chong, Jing (Pennsylvania State University, University Park, PA); Mbarika, Victor (Southern University and A&M College, Baton Rouge, LA)",,"Kvasny, Lynette (Pennsylvania State University); Payton, Fay Cobb (North Carolina State University); Chong, Jing (Pennsylvania State University); Mbarika, Victor (Southern University and Agricultural and Mechanical College)",Pennsylvania State University; North Carolina State University; Southern University and Agricultural and Mechanical College,grid.29857.31; grid.40803.3f; grid.263880.7,State College; Raleigh; Baton Rouge,Pennsylvania; North Carolina; Louisiana,United States; United States; United States,,,,,,3,0,,0.72,,,https://app.dimensions.ai/details/publication/pub.1030744309,39 Education; 3903 Education Systems; 46 Information and Computing Sciences,,,,,,C17 Business and Management Studies,4 Quality Education
491,pub.1004559419,10.1108/07419050710751607,,,,Annual Conference of the Nigeria Association of Law Libraries,"Purpose –To share themes and issues of a conference held in Nigeria of a specialized group of librarians, law librarians. Design/methodology/approach –This is a review of the conference. Findings –Surprisingly, the issues that were highlighted in the papers and presentations was not the most important nor interesting sense of this meeting, but the poor attendance, participation and the incredible sense of digital divide that is described and how weak conditions are in Nigerian law libraries due to inadequate connectivity overall and Internet access in particular. Access to resources regardless of the standards is highly restricted. Practical implications –Intervention of resources, technology, capital and human resources are all badly needed to make a difference in training and rendering improved services in law libraries. International content available via the web is not helpful if access is so cumbersome and restricted. Originality/value –Provides information of value of Library professionals.",,Library Hi Tech News,,Emerald,0741-9058,,2007-03-13,2007,,2007-03-13,24,2,4-5,Closed,Article,"Tiemo, Pereware A.; Agbabune, Henry","Tiemo, Pereware A. (Delta State University, Abraka, Nigeria. (, pere_tiemo@yahoo.com, )); Agbabune, Henry (Law Librarian at the Ministry of Justice Asaba, Delta State, Nigeria.)",,"Tiemo, Pereware A. (Delta State University); Agbabune, Henry ()",Delta State University,grid.449066.9,Abraka,,Nigeria,,,,,,0,0,,0.0,,,https://app.dimensions.ai/details/publication/pub.1004559419,46 Information and Computing Sciences; 4610 Library and Information Studies; 48 Law and Legal Studies,,,,,,"D34 Communication, Cultural and Media Studies, Library and Information Management",
